county_fips,Population 2020
19115,"10,837"
19117,"8,634"
19119,"11,934"
19121,"16,548"
19123,"22,190"
19125,"33,414"
19127,"40,105"
19129,"14,484"
19131,"10,565"
19133,"8,751"
19135,"7,577"
19137,"10,330"
19139,"43,235"
19141,"14,182"
19143,"6,192"
19145,"15,211"
19147,"8,996"
19149,"25,698"
19151,"7,078"
19153,"492,401"
19155,"93,667"
19157,"18,662"
19159,"4,663"
19161,"9,814"
19163,"174,669"
19165,"11,746"
19167,"35,872"
19169,"98,537"
19171,"17,135"
19173,"5,896"
19175,"12,138"
19177,"7,203"
19179,"35,437"
19181,"52,403"
19183,"22,565"
19185,"6,497"
19187,"36,999"
19189,"10,679"
19191,"20,070"
19193,"105,941"
19195,"7,443"
19197,"12,943"
20000,"2,937,880"
20001,"12,526"
20003,"7,836"
20005,"16,348"
20007,"4,228"
20009,"25,493"
20011,"14,360"
20013,"9,508"
20015,"67,380"
20017,"2,572"
20019,"3,379"
20021,"19,362"
20023,"2,616"
20025,"1,991"
20027,"8,117"
20029,"9,032"
20031,"8,360"
20033,"1,689"
20035,"34,549"
20037,"38,972"
20039,"2,764"
20041,"18,402"
20043,"7,510"
20045,"118,785"
20047,"2,907"
20049,"2,483"
20051,"28,934"
20053,"6,376"
20055,"38,470"
20057,"34,287"
20059,"25,996"
20061,"36,739"
20063,"2,718"
20065,"2,415"
20067,"7,352"
20069,"5,653"
20071,"1,284"
20073,"6,016"
20075,"2,518"
20077,"5,485"
20079,"34,024"
20081,"3,780"
20083,"1,723"
20085,"13,232"
20087,"18,368"
20089,"2,932"
20091,"609,863"
20093,"3,983"
20095,"7,470"
20097,"2,460"
20099,"20,184"
20101,"1,574"
20103,"81,881"
20105,"2,939"
20107,"9,591"
20109,"2,762"
20111,"32,179"
20113,"30,223"
20115,"11,823"
20117,"10,038"
20119,"4,055"
20121,"34,191"
20123,"5,796"
20125,"31,486"
20127,"5,386"
20129,"2,701"
20131,"10,273"
20133,"15,904"
20135,"2,687"
20137,"5,459"
20139,"15,766"
20141,"3,500"
20143,"5,735"
20145,"6,253"
20147,"4,981"
20149,"25,348"
20151,"9,157"
20153,"2,561"
20155,"61,898"
20157,"4,674"
20159,"9,427"
20161,"71,959"
20163,"4,919"
20165,"2,956"
20167,"6,691"
20169,"54,303"
20171,"5,151"
20173,"523,824"
20175,"21,964"
20177,"178,909"
20179,"2,447"
20181,"5,927"
20183,"3,570"
20185,"4,072"
20187,"2,084"
20189,"5,250"
20191,"22,382"
20193,"7,930"
20195,"2,808"
20197,"6,877"
20199,"1,512"
20201,"5,530"
20203,"2,152"
20205,"8,624"
20207,"3,115"
20209,"169,245"
21000,"4,505,836"
21001,"18,903"
21003,"20,588"
21005,"23,852"
21007,"7,728"
21009,"44,485"
21011,"12,750"
21013,"24,097"
21015,"135,968"
21017,"20,252"
21019,"48,261"
21021,"30,614"
21023,"8,400"
21025,"13,718"
21027,"20,432"
21029,"82,217"
21031,"12,371"
21033,"12,649"
21035,"37,103"
21037,"93,076"
21039,"4,826"
21041,"10,810"
21043,"26,627"
21045,"15,941"
21047,"72,748"
21049,"36,972"
21051,"20,345"
21053,"9,253"
21055,"8,990"
21057,"5,888"
21059,"103,312"
21061,"12,126"
21063,"7,354"
21065,"14,163"
21067,"322,570"
21069,"15,082"
21071,"35,942"
21073,"51,541"
21075,"6,515"
21077,"8,690"
21079,"16,953"
21081,"24,941"
21083,"36,649"
21085,"26,420"
21087,"11,107"
21089,"35,962"
21091,"9,095"
21093,"110,702"
21095,"26,831"
21097,"18,692"
21099,"19,288"
21101,"44,793"
21103,"15,678"
21105,"4,521"
21107,"45,423"
21109,"12,955"
21111,"782,969"
21113,"52,991"
21115,"22,680"
21117,"169,064"
21119,"14,251"
21121,"30,193"
21123,"14,867"
21125,"62,613"
21127,"16,293"
21129,"7,395"
21131,"10,513"
21133,"21,548"
21135,"13,080"
21137,"24,275"
21139,"8,888"
21141,"27,432"
21143,"8,680"
21145,"67,875"
21147,"16,888"
21149,"9,152"
21151,"92,701"
21153,"11,637"
21155,"19,581"
21157,"31,659"
21159,"11,287"
21161,"17,120"
21163,"30,003"
21165,"6,113"
21167,"22,641"
21169,"10,286"
21171,"11,338"
21173,"28,114"
21175,"13,726"
21177,"30,928"
